filename,Autoformer,Informer,Dlinear,LSTM,Patch_TST,RRformer,Mamba
1022500,0.849148571,0.322174639,0.049648348,0.099464834,0.063950829,0.375454694,0.144820109
1031500,0.715943158,0.1469969,0.016526243,0.031848099,0.02529854,0.2731435,0.08241494
1047000,0.604085624,0.178978294,0.015987745,0.102771983,0.056170605,0.170709088,0.101334445
1052500,0.551279247,0.116794936,0.01513078,0.031537089,0.017999841,0.041308373,0.155276209
1054200,0.630321741,0.192125008,0.10519594,0.167115882,0.137101263,0.29130289,0.19976604
1055000,0.625224173,0.223115951,0.076658472,0.1174367,0.122271322,0.323051542,0.217324212
1057000,0.363939196,0.103522778,0.015347403,0.072386451,0.022851339,0.388035208,0.092937857
1073000,0.519562483,0.114903376,0.030792201,0.131593361,0.050067246,0.200972512,0.236105025
1078000,0.583833516,0.413454175,0.015582744,0.156801775,0.033092394,0.249255732,0.217701495
1123000,0.483040273,0.124625854,0.02220176,0.07702738,0.028635686,0.352323264,0.114831261
1134500,0.616678655,0.061685376,0.012737613,0.053417332,0.026052022,0.261327296,0.087870501
1137500,0.721946836,0.305308521,0.037741974,0.152669176,0.066448472,0.3141146,0.14256607
1139000,0.683820426,0.25342086,0.085346483,0.188623965,0.126135454,0.36209631,0.167807162
1139800,0.596481681,0.097902954,0.065624923,0.149169266,0.090711124,0.155827269,0.126561284
1142500,0.595418274,0.280558735,0.07907778,0.197694227,0.085213199,0.340712756,0.188951239
1144000,0.427191108,0.200512141,0.08534354,0.123973593,0.141981617,0.307350814,0.248157203
1162500,0.463514477,0.080974564,0.014597287,0.056111667,0.016311517,0.093223445,0.116356544
1169000,0.479726255,0.066232182,0.04239111,0.094573975,0.05814831,0.20766291,0.195239484
1170100,0.60552001,0.283014506,0.081351966,0.246598437,0.100810103,0.282348037,0.167092025
1181000,0.498686463,0.155929297,0.047488954,0.113353439,0.080448009,0.166080803,0.163018838
1187300,0.796802342,0.168763131,0.047514245,0.076526664,0.065663941,0.168743685,0.134447113
1195100,0.669239521,0.096499063,0.028893687,0.065428935,0.035538871,0.3326132,0.119635768
1333000,0.72144115,0.223717913,0.057578079,0.172443837,0.077182658,0.3002069,0.124603555
1350000,0.554455996,0.200469986,0.085205942,0.155907646,0.11094553,0.351805001,0.327094465
1350080,0.429365396,0.293279529,0.108264945,0.236017004,0.127262056,0.421281755,0.175835356
1350140,0.607910097,0.153970659,0.058151484,0.177535668,0.082967252,0.249572068,0.185335726
1365000,0.559030652,0.180476904,0.043765459,0.091369055,0.066524811,0.271412313,0.144554362
1411300,0.365719646,0.103443913,0.041130837,0.098370574,0.051649719,0.203064486,0.051725525
1413500,0.612018287,0.253402978,0.037373029,0.145556241,0.035036538,0.277602822,0.128634393
1414500,0.427913159,0.102652445,0.043451522,0.090398028,0.069928512,0.151457548,0.209984913
1415000,0.443647563,0.505757749,0.134486169,0.194159359,0.152769923,0.450925797,0.262967348
1423000,0.432062864,0.271546394,0.026100872,0.106620461,0.033275895,0.134011492,0.080701672
1434025,0.700732172,0.357922763,0.154456615,0.259767324,0.158847287,0.418286562,0.298018605
