filename,Autoformer,Informer,Dlinear,LSTM,Patch_TST,RRformer,Mamba
1022500,0.028303146,0.765872955,0.912071645,0.766399533,0.95837668,0.81813778,0.824640393
1031500,0.193929851,0.91825676,0.873901233,0.961278398,0.989867661,0.666912884,0.917743891
1047000,-0.206144452,0.758664504,0.776884496,0.785732716,0.930125408,0.77276133,0.823385611
1052500,0.589771897,0.963380743,0.961541008,0.988779447,0.9857447,0.892653376,0.953971766
1054200,-0.083102107,0.824154288,0.656670511,0.804124296,0.805449918,0.701357782,0.785568222
1055000,0.034520268,0.878888108,0.729230523,0.89333389,0.892720431,0.698827177,0.852349266
1057000,0.173896194,0.926288955,0.866029322,0.944304381,0.979393736,0.628250986,0.886176147
1073000,-0.039763331,0.874419942,0.760280326,0.859965965,0.946820144,0.822673932,0.862140879
1078000,-2.603677034,0.631130904,0.835679978,0.364130914,0.970456161,0.264876246,0.532842964
1123000,-0.042865872,0.863318115,0.857622683,0.907830052,0.981342692,0.717585981,0.922243446
1134500,0.085351527,0.85958083,0.876211248,0.915269934,0.977903854,0.752019674,0.868904471
1137500,-2.226793766,0.443243146,0.643211126,0.457403183,0.875997819,0.331978202,0.597204655
1139000,-0.494116902,0.772680625,0.706994861,0.780349597,0.836859986,0.619642317,0.761691108
1139800,0.339755177,0.9291372,0.898329958,0.927591056,0.948238969,0.910923913,0.923788182
1142500,0.03081727,0.77792117,0.770477176,0.796774238,0.89602112,0.714544654,0.722162396
1144000,0.150651634,0.80146341,0.657019019,0.83559069,0.838981435,0.705889314,0.686755031
1162500,0.502127677,0.929545805,0.929947473,0.953683462,0.995019841,0.835657343,0.939522181
1169000,0.169490814,0.926790074,0.747146517,0.946381427,0.960901834,0.806327432,0.869788125
1170100,-0.003607273,0.670131028,0.404657602,0.483050287,0.832515001,0.532487214,0.652399749
1181000,0.288249135,0.902410224,0.743493229,0.925413072,0.924693696,0.799224496,0.898014866
