filename,Autoformer,Informer,Dlinear,LSTM,Patch_TST,RRformer,Mamba
1022500,0.064977705,0.71735239,0.912071645,0.551869392,0.908012412,0.731758326,0.874249324
1031500,0.110545516,0.874391317,0.873901233,0.917362876,0.949980635,0.657063574,0.871471941
1047000,0.013379872,0.609994054,0.776884496,0.594052404,0.801021576,0.662792742,0.730019569
1052500,0.573042035,0.93076361,0.961541008,0.968332544,0.964427758,0.867521241,0.928106345
1054200,-0.114850044,0.714147061,0.656670511,0.667898893,0.641507834,0.614025146,0.665387869
1055000,0.015811563,0.780916616,0.729230523,0.778543577,0.773122132,0.631818622,0.750964254
1057000,0.199228227,0.892635643,0.866029322,0.915778659,0.92407684,0.635768831,0.845065877
1073000,-0.021193266,0.687870443,0.760280326,0.766992763,0.787066549,0.7456173,0.794112355
1078000,-3.022853374,0.49242568,0.835679978,-0.145896673,0.899345867,0.501732767,0.736795157
1123000,-0.001978517,0.79179582,0.857622683,0.845764577,0.919131905,0.688567549,0.90378198
1134500,0.059980094,0.763291433,0.876211248,0.84574227,0.920250386,0.67790243,0.848923117
1137500,-1.934706211,0.18105036,0.643211126,-0.043351412,0.661379606,0.27581054,0.355846107
1139000,-0.438529253,0.660277933,0.706994861,0.669280887,0.704052627,0.584093302,0.668135881
1139800,0.340290964,0.853958875,0.898329958,0.855092853,0.881376177,0.869277969,0.843808442
1142500,0.11825639,0.606641948,0.770477176,0.636258006,0.793806314,0.653212845,0.604563564
1144000,-0.0288378,0.713710427,0.657019019,0.730478287,0.696870238,0.636232018,0.531484276
1162500,0.482107103,0.858366847,0.929947473,0.934598424,0.97082804,0.846200243,0.905217901
1169000,0.14244777,0.798194751,0.747146517,0.823239431,0.831111744,0.666133791,0.779219121
1170100,-0.106187463,0.474058986,0.404657602,-0.0071702,0.524480879,0.324728847,0.260085106
1181000,0.191630721,0.776888013,0.743493229,0.802509278,0.775604188,0.70934093,0.757550746
1187300,0.018225312,0.733439922,0.746567786,0.845613316,0.807173029,0.646132737,0.831626251
1195100,-0.859593034,0.885677822,0.864048839,0.788522646,0.899019733,0.808432683,0.89135132
1333000,-0.279519796,0.589363426,0.75018847,0.722104251,0.746187449,0.589923263,0.745960355
1350000,0.436241388,0.655374676,0.649742097,0.650727153,0.656540722,0.603181571,0.621101826
1350080,0.221966743,0.621754587,0.612889677,0.558212906,0.635163516,0.617004424,0.465179682
1350140,0.116060734,0.64248094,0.717436254,0.722554743,0.726858765,0.647776693,0.702501267
1365000,0.379951894,0.770227015,0.751744062,0.806928292,0.781686798,0.65405193,0.734751165
1411300,0.327658713,0.804341197,0.915742822,0.638087422,0.913090713,0.848815471,0.807635754
1413500,-0.644010067,0.717247665,0.746445626,0.718079835,0.770537704,0.565607429,0.747714609
1414500,0.375863552,0.75848791,0.754902124,0.785899058,0.759131342,0.758102372,0.745629102
